epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5814.61,1.14439,0.72591,1.0774,0.83075,0.83879,0.8681,0.65857,0.90499,0.55112,0.99611,0.00269875,0.00269875,0.00269875
61,5910.69,1.1336,0.72217,1.06818,0.82854,0.85074,0.86749,0.6601,0.89729,0.54778,0.99186,0.002575,0.002575,0.002575
62,6007.3,1.12939,0.72585,1.06854,0.82651,0.83897,0.87008,0.66085,0.89569,0.54435,0.99048,0.00245125,0.00245125,0.00245125
63,6103.8,1.13518,0.721,1.06643,0.81707,0.85097,0.86976,0.66429,0.88942,0.54329,0.98877,0.0023275,0.0023275,0.0023275
64,6199.89,1.13038,0.7137,1.06413,0.8186,0.85154,0.86983,0.65919,0.8926,0.54309,0.99088,0.00220375,0.00220375,0.00220375
65,6295.39,1.12113,0.71544,1.06252,0.82623,0.84059,0.87333,0.66457,0.89149,0.53707,0.98946,0.00208,0.00208,0.00208
66,6391.04,1.10755,0.71083,1.05711,0.81257,0.86127,0.87206,0.66409,0.89186,0.53715,0.98991,0.00195625,0.00195625,0.00195625
67,6487.1,1.11343,0.71229,1.05384,0.81404,0.85692,0.87157,0.66778,0.88449,0.53417,0.9872,0.0018325,0.0018325,0.0018325
68,6584,1.11359,0.70938,1.05887,0.81617,0.85662,0.8722,0.6671,0.87746,0.53418,0.98611,0.00170875,0.00170875,0.00170875
69,6679.94,1.10948,0.70191,1.05992,0.81176,0.84775,0.87166,0.66623,0.87865,0.53067,0.98624,0.001585,0.001585,0.001585
70,6777.04,1.10405,0.69951,1.05687,0.81061,0.86241,0.87355,0.66675,0.88567,0.53099,0.98765,0.00146125,0.00146125,0.00146125
71,6902.47,1.11622,0.65689,1.09418,0.81573,0.85505,0.87059,0.66629,0.88069,0.53196,0.9878,0.0013375,0.0013375,0.0013375
72,6998.16,1.11608,0.6613,1.09101,0.80763,0.85985,0.87044,0.66462,0.87485,0.53251,0.98674,0.00121375,0.00121375,0.00121375
73,7093.29,1.10367,0.65065,1.08341,0.80744,0.86914,0.86961,0.66521,0.8717,0.53113,0.98624,0.00109,0.00109,0.00109
74,7188.85,1.09445,0.64377,1.0788,0.80229,0.87229,0.86894,0.66389,0.87076,0.53346,0.98641,0.00096625,0.00096625,0.00096625
75,7284.83,1.08363,0.63371,1.07726,0.80773,0.86242,0.86873,0.66642,0.8687,0.53155,0.9866,0.0008425,0.0008425,0.0008425
76,7380.13,1.07859,0.63998,1.07512,0.81412,0.84995,0.86843,0.66739,0.86957,0.53212,0.98698,0.00071875,0.00071875,0.00071875
77,7476.34,1.07703,0.63269,1.06975,0.81205,0.8594,0.86855,0.66617,0.87291,0.53451,0.98773,0.000595,0.000595,0.000595
78,7573.41,1.07452,0.62761,1.07151,0.81589,0.86013,0.86888,0.66544,0.87307,0.53539,0.98799,0.00047125,0.00047125,0.00047125
79,7670.03,1.06759,0.62121,1.06788,0.8152,0.85967,0.87098,0.66747,0.87254,0.53375,0.98753,0.0003475,0.0003475,0.0003475
80,7775.11,1.05924,0.61284,1.06399,0.81419,0.85865,0.87001,0.66655,0.87118,0.53242,0.98702,0.00022375,0.00022375,0.00022375
