epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,536.659,1.1663,0.67554,1.00888,0.82359,0.91534,0.94667,0.72472,0.87226,0.52391,0.97646,0.00024359,0.00024359,0.00024359
71,580.709,1.19333,0.66638,1.05185,0.90111,0.86101,0.94771,0.67911,0.98339,0.56392,1.0076,0.000222961,0.000222961,0.000222961
72,588.211,1.16107,0.63336,1.03443,0.83666,0.90129,0.9433,0.71368,0.88556,0.54712,0.97886,0.000202332,0.000202332,0.000202332
73,595.37,1.13907,0.63477,1.02561,0.87886,0.86666,0.9526,0.73631,0.83854,0.53802,0.96988,0.000181703,0.000181703,0.000181703
74,602.781,1.13673,0.61868,1.03203,0.87432,0.91821,0.95552,0.70749,0.94979,0.52967,0.99587,0.000161074,0.000161074,0.000161074
75,610.014,1.14114,0.63822,1.02896,0.85282,0.92495,0.95561,0.73404,0.85001,0.52206,0.96746,0.000140445,0.000140445,0.000140445
76,617.398,1.13225,0.62237,1.0252,0.89447,0.86619,0.95663,0.73347,0.87172,0.53279,0.97378,0.000119816,0.000119816,0.000119816
77,624.506,1.1148,0.61381,1.03046,0.85292,0.94156,0.95278,0.72794,0.85487,0.523,0.96891,9.91865e-05,9.91865e-05,9.91865e-05
78,631.957,1.11306,0.61639,1.01869,0.81972,0.93566,0.9509,0.7358,0.84655,0.52444,0.96621,7.85574e-05,7.85574e-05,7.85574e-05
79,639.382,1.11163,0.6127,1.02337,0.82134,0.9638,0.95187,0.72875,0.85911,0.52505,0.96991,5.79283e-05,5.79283e-05,5.79283e-05
80,647.102,1.13245,0.61449,1.0181,0.84893,0.90017,0.95121,0.73127,0.84589,0.52377,0.96752,3.72991e-05,3.72991e-05,3.72991e-05
